age,workclass,fnlwgt
81,Private,184615
28,Private,173858
28,Private,132326
43,Private,315037
51,Private,175122
23,Private,239577
48,Self-emp-not-inc,96975
45,Self-emp-inc,61885
48,Private,185870
37,State-gov,142282
34,Private,334744
63,Self-emp-not-inc,201600
38,Private,34378
29,Private,180271
33,Private,123833
47,Private,213304
30,Private,296538
35,Private,391937
54,Self-emp-inc,175339
26,Private,60726
39,Private,191103
34,State-gov,32174
55,Private,176219
33,Self-emp-not-inc,294434
17,Private,310885
27,Private,171133
53,Private,162951
43,Private,223934
22,Private,23940
52,Private,88073
60,Private,57371
55,Self-emp-not-inc,73684
39,Private,107164
29,Private,120126
41,Self-emp-not-inc,54611
61,Private,131117
71,Federal-gov,101676
20,Private,403965
33,Private,177083
52,Private,173987
40,Private,352080
26,?,102400
31,Local-gov,378426
42,Private,210857
63,Private,165775
53,Private,295896
34,State-gov,238944
48,Private,149640
67,?,106175
49,Private,191320
28,Local-gov,134771
51,?,295538
44,Private,120277
27,Private,82393
49,Private,146121
34,Private,162544
27,Self-emp-not-inc,216178
38,Self-emp-not-inc,248694
24,Private,219140
29,Private,360401
39,Private,319962
50,Private,115284
42,Private,29702
63,?,107085
44,State-gov,204361
58,Private,218312
25,Private,182332
23,Private,127876
20,Private,316702
46,Self-emp-not-inc,292549
21,Private,203178
63,Private,180099
38,Private,154541
27,Private,95465
41,Private,171839
43,Private,115562
39,State-gov,42478
48,?,117054
56,Self-emp-inc,124137
44,State-gov,107503
24,Private,70261
49,Private,367037
38,Private,258339
36,Self-emp-not-inc,269509
27,State-gov,301302
50,Private,369367
46,Private,224582
41,Local-gov,343591
45,?,53540
46,Private,153536
65,?,91262
44,Private,238574
35,Private,247558
44,Self-emp-not-inc,188278
51,Private,194995
74,Local-gov,168782
32,Private,287229
22,Private,202153
58,?,230586
47,Private,115358
32,Private,78283
64,Federal-gov,168854
44,Private,222011
59,Private,157749
34,Private,203814
54,Private,74660
33,Private,292603
44,Private,172364
31,Private,305619
30,State-gov,157990
18,Private,120243
56,Self-emp-not-inc,296991
24,Private,174845
23,Private,180475
51,Private,152652
24,Private,172941
39,Federal-gov,450770
49,Self-emp-not-inc,166003
22,?,204935
42,State-gov,60949
51,Local-gov,181132
20,Private,408988
49,Private,169515
31,Private,250087
41,Private,208613
35,Private,225172
20,?,125905
35,Private,165007
46,Private,165346
35,Private,37655
21,Private,172047
45,Private,178530
37,Local-gov,347491
45,Self-emp-inc,208049
18,Private,111019
53,Self-emp-not-inc,163826
24,Local-gov,117023
35,Private,281982
28,Private,150025
50,Private,176215
38,Private,166062
34,Local-gov,28568
53,Private,53833
46,Private,219967
50,Private,309017
45,Private,353083
29,Private,257992
41,Private,283174
43,Self-emp-not-inc,185413
29,Private,207513
53,Private,56213
24,Private,100961
35,Private,51700
25,Private,199224
43,Local-gov,70055
38,Private,183683
64,Private,45868
37,Private,94706
48,Private,322183
27,Self-emp-not-inc,226976
45,Private,262678
41,Private,135056
33,?,148380
42,Private,270710
29,Private,166220
29,Private,229803
71,Self-emp-inc,172652
29,Federal-gov,204796
23,State-gov,186634
28,Private,106672
55,Private,135339
47,State-gov,287547
21,?,197583
33,Private,159737
35,Local-gov,252217
42,Self-emp-inc,202466
33,Private,123031
30,Private,226296
37,Private,232036
19,?,233779
21,?,152328
46,Self-emp-not-inc,481987
42,Private,107563
28,Private,184806
36,Private,188850
39,Private,127573
27,Private,72443
57,Private,142080
50,Private,143353
63,Private,172433
44,Private,67874
38,Private,415578
30,Self-emp-not-inc,370498
20,Private,140513
44,Self-emp-not-inc,193882
24,Private,289909
26,Private,284078
42,Self-emp-not-inc,83953
54,Private,167380
45,State-gov,112761
37,Private,420040
30,Federal-gov,42900
36,Private,32086
19,Private,291181
22,Private,71009
65,Federal-gov,200764
52,?,133336
36,Self-emp-not-inc,166193
22,Private,240229
28,Private,334032
30,State-gov,184901
47,Private,132912
29,Private,217290
36,Private,184655
30,Private,242739
52,Private,279344
62,Private,166691
42,Private,154374
33,Private,31740
17,Private,129396
54,Private,195015
41,Private,187431
45,State-gov,259087
37,State-gov,62428
21,Private,77572
29,Private,245402
18,State-gov,201117
18,?,36779
62,Private,177028
19,Private,106306
62,Private,101582
58,Local-gov,158357
34,Private,377850
62,Private,207443
23,Private,130959
37,Private,112497
42,Private,190545
21,Private,114292
41,Private,75171
27,Private,312939
37,Private,52870
40,Private,174947
62,Local-gov,106069
29,Private,298696
33,Private,392812
53,Private,117932
64,Private,135527
60,Private,135158
47,Private,54260
45,State-gov,28171
33,Private,150324
29,Private,109494
57,Private,204209
19,Private,328167
26,Private,157617
63,Self-emp-inc,180955
42,Private,478373
38,Self-emp-not-inc,245090
34,Private,209900
20,?,228649
35,Private,190297
38,Private,44780
52,State-gov,32372
32,Private,137184
67,Private,366425
26,Private,160307
58,Private,170480
48,Private,224393
25,Private,173212
25,Private,86646
25,Private,108683
18,Private,70021
36,Private,192939
45,Self-emp-not-inc,144086
34,Private,97614
68,Self-emp-inc,260198
37,Private,486194
21,Private,112225
49,Private,164200
39,Local-gov,52401
41,Private,195821
35,Private,108140
29,Local-gov,187981
29,?,108126
54,Local-gov,168212
32,Self-emp-not-inc,198613
18,Private,52098
30,Private,509364
66,?,128614
23,Local-gov,238384
36,Private,317434
34,Private,158688
39,Self-emp-not-inc,267412
26,Local-gov,391074
78,Private,135692
28,Private,78529
51,Private,117700
33,Local-gov,83413
44,?,210875
34,Private,108023
33,Self-emp-not-inc,103435
28,Private,632733
55,Private,266019
30,Private,41210
45,Private,125892
46,Private,135339
17,Private,272372
40,Private,291300
44,Local-gov,157473
56,Private,329948
69,Self-emp-inc,264722
41,Private,132853
47,Local-gov,216586
33,Private,504725
25,State-gov,150083
42,Private,188789
65,?,101427
24,Private,103277
48,Federal-gov,191013
82,Self-emp-inc,220667
36,Private,188800
34,Private,24361
28,Private,82910
65,Private,105586
66,Self-emp-not-inc,240294
40,Private,21755
66,Private,73522
37,Private,222450
34,Private,35595
41,Self-emp-not-inc,239061
43,Private,122473
20,Private,190290
59,Private,193375
48,Private,148576
45,State-gov,72896
28,Private,180299
43,Private,221550
18,Private,183011
34,?,370209
55,Self-emp-inc,298449
21,Local-gov,300812
47,Private,173938
45,Private,282172
61,Private,87300
23,Private,64520
44,State-gov,119567
45,Private,117310
35,State-gov,28738
17,?,99695
49,Private,366089
40,Private,234397
28,Self-emp-not-inc,132686
33,Self-emp-inc,196963
31,State-gov,46492
38,Local-gov,274245
62,Private,360032
40,Private,144778
61,Private,142245
42,Federal-gov,178074
19,?,218171
32,Local-gov,130242
52,Private,98980
34,Private,284629
37,Private,114591
30,Private,134639
27,Private,134890
25,Private,199545
32,Private,227282
47,Self-emp-inc,308241
43,Private,214781
50,Local-gov,173630
42,Federal-gov,348059
31,Private,208785
43,Private,151809
37,Private,71592
58,Private,132704
32,Private,250583
35,Private,114765
40,Self-emp-not-inc,194924
39,Self-emp-not-inc,73471
51,Private,250423
42,Private,145441
27,Private,86681
69,Private,188643
74,Private,68326
36,Private,382859
23,?,211968
48,Local-gov,132368
38,Private,196123
68,Private,178066
40,State-gov,105936
23,Private,306639
48,Private,26502
47,Local-gov,204698
55,Private,118057
22,State-gov,199266
49,Private,248145
51,Private,239284
42,Self-emp-inc,188738
31,Private,209101
67,Local-gov,197816
27,?,60726
59,Self-emp-not-inc,211678
66,Private,304957
28,Private,278552
33,Self-emp-not-inc,79303
44,Local-gov,64632
39,Private,560313
39,Local-gov,174597
46,Private,139946
19,Private,277695
44,Self-emp-not-inc,138471
24,Private,320615
48,Private,164954
27,Private,263728
44,Private,103980
30,Private,159442
32,Federal-gov,113838
49,Private,28171
37,Self-emp-not-inc,227253
24,Private,211129
19,Private,120003
20,Private,245182
25,Private,188767
29,Private,227890
43,Private,131650
35,Local-gov,258725
47,Local-gov,127678
53,Private,110747
27,Private,409246
32,Private,128829
36,Private,170031
55,Self-emp-not-inc,150917
